excluded_reason	id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
Focuses on metatranscriptomics functional analysis, not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	coman	COMAN	Comprehensive metatranscriptomics analysis.	regulatory-elements	regulatory-elements	core	http://147.8.185.62/COMAN/										Web application	RNA-seq|Transcriptomics|Microbiology|Metagenomics							52		2016	pmid:27515514										False	coman	https://bio.tools/coman	2018-12-10	bio.tools		
It is a database for RNAi reagents and screens, not for regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	flyrnai	FlyRNAi	Database of Dorsophila RNA interference (RNAi) Screening Center.	regulatory-elements	regulatory-elements	core	http://www.flyrnai.org/										Database portal	RNAi experiment|RNA|Compound libraries and screening|Electron microscopy	JavaScript|Java|Perl|SQL|C						51		2012	pmid:22067456										False	flyrnai	https://bio.tools/flyrnai	2018-12-10	bio.tools		
RIPSeeker identifies RNA-protein interactions, not DNA regulatory elements; admitted on EDAM 'Transcriptional regulatory element prediction' alone	ripseeker	RIPSeeker	Infers and discriminates RIP peaks from RIP-seq alignments using two-state HMM with negative binomial emission probability	regulatory-elements	regulatory-elements	core	http://bioconductor.org/packages/release/bioc/html/RIPSeeker.html										Command-line tool|Library	RNA-seq	R	GPL-2.0					50		2013	pmid:23455476										False	ripseeker	https://bio.tools/ripseeker	2019-01-09	bio.tools		
Tool is a general noise filter for sequencing data, not specific to regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	noisyr	noisyR	Quantifies and removes technical noise from high-throughput sequencing data	grn-inference	grn-inference	core	https://CRAN.R-project.org/package=noisyr		https://github.com/Core-Bioinformatics/noisyR		recorded	10	2021-10-01	False	R		Library	Gene expression|Functional, regulatory and non-coding RNA|Gene transcripts|RNA-Seq|Molecular interactions, pathways and networks	R	GPL-2.0			Free of charge		50		2021	pmid:34076236										False	noisyr	https://bio.tools/noisyr	2021-10-30	bio.tools		
Tool is for CRISPR guide RNA design, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	WheatCRISPR	WheatCRISPR	a web-based guide RNA design tool for CRISPR/Cas9-mediated genome editing in wheat	regulatory-elements	regulatory-elements	core	https://crispr.bioinfo.nrc.ca/WheatCrispr/											Genetic engineering|Gene expression|Plant biology|Gene transcripts|Agricultural science							49		2019	pmid:31694550										False	WheatCRISPR	https://bio.tools/WheatCRISPR	2021-01-03	bio.tools		
Focuses on extrachromosomal circular DNA curation and interpretation, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	circlebase	CircleBase	An integrated resource and analysis platform for human eccDNAs.	peak-calling|chip-resources|grn-inference|nucleosome-chromatin	peak-calling	core	http://circlebase.maolab.org/		https://github.com/leishenggit/CircleBase		recorded	1	2023-11-07	False	HTML		Bioinformatics portal|Web application	Epigenetics|Molecular interactions, pathways and networks|DNA|Oncology|ChIP-seq	JavaScript|PHP				Free of charge		49		2022	pmid:34792166										False	circlebase	https://bio.tools/circlebase	2022-04-14	bio.tools		
BioBIKE is a general-purpose bioinformatics programming environment, not a tool specifically for regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	biobike	BioBIKE	Web-based environment enabling biologists with little programming expertise to combine tools, data and knowledge in novel and complex ways	motif-discovery	motif-discovery	core	http://biobike.csbc.vcu.edu/										Web application	Software engineering|Biology|Database management|Systems biology|Data visualisation		MIT		Mature	Free of charge		47		2009	pmid:19433511										False	biobike	https://bio.tools/biobike	2024-11-24	bio.tools		
CRISPR gRNA design is not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	crispron_off	CRISPRon_off	Webservers for CRISPR Cas9 on- and off-target predictions.	regulatory-elements	regulatory-elements	core	https://rth.dk/resources/crispr/crispron/										Web application|Command-line tool	Gene transcripts|Genetic engineering|Workflows|Probes and primers	JavaScript|Python|C	Other			Free of charge		47			pmid:36271848										False	crispron_off	https://bio.tools/crispron_off	2023-01-09	bio.tools		
Tool annotates variable-number tandem repeats, not regulatory elements; admitted on EDAM 'Sequence motif discovery' alone	vamos	vamos	Variable-number tandem repeats annotation using efficient motif sets.	motif-discovery	motif-discovery	core	https://github.com/chaissonlab/vamos		https://github.com/chaissonlab/vamos		recorded	42	2026-05-25	False	C	GPL-2.0	Workflow	DNA polymorphism|Sequence sites, features and motifs|Sequence assembly|Gene transcripts|Sequencing	C	GPL-2.0			Free of charge		46		2023	pmid:37501141										False	vamos	https://bio.tools/vamos	2024-11-24	bio.tools		
Predicts cytochrome P450 inhibitors, which is drug metabolism, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	icyp-mfe	iCYP-MFE	Identifying Human Cytochrome P450 Inhibitors Using Multitask Learning and Molecular Fingerprint-Embedded Encoding.	regulatory-elements	regulatory-elements	core	http://103.130.219.193:5002		https://github.com/mldlproject/2021-iCYP-MFE		recorded	18	2023-06-27	False	Python		Web application	Small molecules|Metabolomics|Drug discovery|Endocrinology and metabolism|Drug metabolism	Python	Not licensed			Free of charge		46		2021	pmid:34672553										False	icyp-mfe	https://bio.tools/icyp-mfe	2022-04-30	bio.tools		
SignaLink3 is a signaling pathway database, not a regulatory-genomics tool; admitted on EDAM 'Gene regulatory network analysis' alone	signalink3	SignaLink3	A multi-layered resource to uncover tissue-specific signaling networks.	tfbs-prediction|grn-inference	tfbs-prediction	core	http://signalink.org/										Web application	Molecular interactions, pathways and networks|Functional, regulatory and non-coding RNA|Transcription factors and regulatory sites|Zoology|Protein modifications	SQL				Free of charge		46		2022	pmid:34634810										False	signalink3	https://bio.tools/signalink3	2022-03-27	bio.tools		
Tool identifies differentially regulated transcriptome signatures in T cell differentiation, not regulatory genomics tools like TF binding or cis-regulatory elements; admitted on EDAM 'trans-regulatory element prediction' alone	ligap	LIGAP	Allows integrative analysis and visualization of multiple lineages over whole time-course profiles.	regulatory-elements	regulatory-elements	core	http://research.ics.aalto.fi/csb/software/ligap/										Command-line tool	Systems biology|Transcriptomics|Gene regulation|Immunology	MATLAB						42			pmid:23110343										False	ligap	https://bio.tools/ligap	2024-11-25	bio.tools		
SubtiWiki is a general-purpose database for Bacillus subtilis, not a tool specifically for regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	subtiwiki	SubtiWiki	SubtiWiki is a database for the model organism Bacillus subtilis.	grn-inference	grn-inference	core	https://subtiwiki.uni-goettingen.de/										Web application|Database portal	Molecular interactions, pathways and networks|Gene expression|Model organisms|Endocrinology and metabolism|Phylogenetics					Free of charge		41		2025	pmid:39441067										False	subtiwiki	https://bio.tools/subtiwiki	2025-07-16	bio.tools		
Focuses on cancer gene mutations and protein interaction networks, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	network_of_cancer_genes	Network of Cancer Genes	The Network of Cancer Genes collects and integrates data on 736 human genes that are mutated in various types of cancer	grn-inference	grn-inference	core	http://ncg.kcl.ac.uk/										Database portal	Oncology|Molecular interactions, pathways and networks|Protein interactions|Human biology|Genetic variation							41		2009	pmid:19906700										False	network_of_cancer_genes	https://bio.tools/network_of_cancer_genes	2024-11-25	bio.tools		
Tool predicts phenotypes from gene expression data using network-regularized neural network, not gene regulatory network analysis; admitted on EDAM 'Gene regulatory network analysis' alone	grrann	GRRANN	A biological network-based regularized artificial neural network model for robust phenotype prediction from gene expression data.	grn-inference	grn-inference	core	https://github.com/kangtianyu/GRRANN		https://github.com/kangtianyu/GRRANN		recorded	3	2017-11-08	False	Java		Desktop application	Machine learning|Gene regulation	Java						41		2017	pmid:29258445										False	grrann	https://bio.tools/grrann	2024-11-25	bio.tools		
It compares gene lists with Venn diagrams and interactome networks, not specifically for gene-regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	netvenn	NetVenn	NetVenn is a network-based web platform for the comparison and analysis of gene lists by combining Venn diagram and gene set enrichment.	grn-inference	grn-inference	core	https://wheat.pw.usda.gov/NetVenn/										Web application	Molecular interactions, pathways and networks|Gene expression|Mapping|Gene transcripts							41		2014	pmid:24771340										False	netvenn	https://bio.tools/netvenn	2018-12-10	bio.tools		
Focuses on RNA structural motifs and regulatory elements, not DNA regulatory genomics	rna_analyzer	RNA Analyzer	Searches for known structures and identifies RNA motifs in your input sequence.	motif-scanning	motif-scanning	extended	http://rnaanalyzer.bioapps.biozentrum.uni-wuerzburg.de/										Web application	RNA|Nucleic acid structure analysis|Structure prediction|Functional, regulatory and non-coding RNA|Gene transcripts							40			pmid:12824342										False	rna_analyzer	https://bio.tools/rna_analyzer	2024-11-25	bio.tools		
Focuses on protein mechanostability and stretching simulations, not regulatory genomics; admitted on EDAM 'Peak calling' alone	bsdb	BSDB	Provides information about mechanostability of proteins	peak-calling|chip-resources	peak-calling	core	http://www.ifpan.edu.pl/BSDB/										Database portal	Proteins|Molecular dynamics|Protein folds and structural domains|Protein structural motifs and surfaces|Structure prediction							40			pmid:20929872										False	bsdb	https://bio.tools/bsdb	2024-11-25	bio.tools		
focuses on proteome reallocation and minimal regulatory interventions, not on regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	ReProMin	ReProMin	> MEDIUM CONFIDENCE! | > CORRECT NAME OF TOOL COULD ALSO BE 'jats:list-item' | A quantitative method for proteome reallocation using minimal regulatory interventions | Regulation based Proteome Minimization (ReProMin) | Three files are needed for the analysis:	grn-inference	grn-inference	core	https://github.com/utrillalab/repromin		https://github.com/utrillalab/repromin		recorded	2	2022-05-30	False	Jupyter Notebook			Proteomics|Molecular interactions, pathways and networks|Gene regulation	Python						40			doi:10.1038/s41589-020-0593-y										False	ReProMin	https://bio.tools/ReProMin	2020-12-12	bio.tools		
Detects genomic islands in prokaryotic genomes, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	gidetector	GIDetector	Software that is used to detect genomic islands in prokaryotic genomes	motif-discovery	motif-discovery	core	http://www5.esu.edu/cpsc/bioinfo/software/GIDetector/										Desktop application	Genetics|Sequence analysis|DNA|Nucleic acid sites, features and motifs	Perl|C#			Legacy			37			pmid:21047376										False	gidetector	https://bio.tools/gidetector	2024-11-25	bio.tools		
Predicts protein active and allosteric binding sites, not regulatory genomics; admitted on EDAM 'DNA binding site prediction' alone	AR-Pred	AR-Pred	Active and Regulatory site Prediction (AR‐Pred) to identify protein regulatory and functional binding sites.	tfbs-prediction	tfbs-prediction	core	https://github.com/sambitmishra0628/AR-PRED_source		https://github.com/sambitmishra0628/AR-PRED_source		recorded	2	2021-08-05	False	MATLAB		Command-line tool	Transcription factors and regulatory sites|Protein binding sites|Molecular dynamics	MATLAB|Perl	LGPL-3.0		Mature	Free of charge		37		2019	pmid:31141211										False	AR-Pred	https://bio.tools/AR-Pred	2024-11-24	bio.tools		
Tool enumerates subgraph patterns in general networks, not specifically regulatory or genomic networks; admitted on EDAM 'Sequence motif discovery' alone	isma	ISMA	Index-based Subgraph Matching Algorithm	motif-discovery	motif-discovery	core	https://sourceforge.net/projects/isma/		https://sourceforge.net/projects/isma/		recorded						Command-line tool	Protein interactions|Protein structural motifs and surfaces							36		2013	pmid:23620730										False	isma	https://bio.tools/isma	2018-12-10	bio.tools		
Detects translocation breakpoint hotspots, not regulatory elements	hot_scan	hot_scan	Free software to detect genomic regions unusually rich (hotspot) in a given pattern via scan statistics.	motif-scanning	motif-scanning	extended	https://github.com/itojal/hot_scan		https://github.com/itojal/hot_scan		recorded	10	2013-10-17	False	Perl	GPL-2.0	Command-line tool	Statistics and probability|Genetics|Sequence sites, features and motifs|Sequence analysis	R|Perl						34			pmid:24860160										False	hot_scan	https://bio.tools/hot_scan	2024-11-25	bio.tools		
Focuses on breast cancer subtype classification from RNA-Seq data using differential expression and coexpression networks, not on regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	goegcn	GOEGCN	RNA-Seq-Based Breast Cancer Subtypes Classification Using Machine Learning Approaches	grn-inference	grn-inference	core	https://github.com/yxchspring/GOEGCN_BRCA_Subtypes		https://github.com/yxchspring/GOEGCN_BRCA_Subtypes		recorded	5	2020-05-23	False	R		Library	Molecular interactions, pathways and networks|Oncology|Machine learning|Gene expression|Functional, regulatory and non-coding RNA	R						34		2020	pmid:33178256										False	goegcn	https://bio.tools/goegcn	2021-01-25	bio.tools		
Predicts T-cell receptor-epitope recognition, which is immunology, not regulatory genomics	tcrconv	TCRconv	Predicting recognition between T cell receptors and epitopes using contextualized motifs.	motif-scanning	motif-scanning	extended	https://github.com/emmijokinen/tcrconv		https://github.com/emmijokinen/tcrconv		recorded	27	2022-10-18	False	Jupyter Notebook	MIT	Command-line tool	Immunoproteins and antigens|Cell biology|Sequence sites, features and motifs|Genotype and phenotype|Infectious disease	Python|R	MIT			Free of charge		31		2023	pmid:36477794										False	tcrconv	https://bio.tools/tcrconv	2024-11-24	bio.tools		
The tool is a general sequence analysis suite, not specifically for regulatory genomics; admitted on EDAM 'Peak calling' alone	lasergene	Lasergene	Comprehensive DNA and protein sequence analysis software suite comprised of seven applications which include functions ranging from sequence assembly and SNP detection, to automated virtual cloning and primer design.	tfbs-prediction|peak-calling	tfbs-prediction	core	http://www.dnastar.com/t-products-dnastar-lasergene-core.aspx										Workbench	Genomics|Phylogenetics|Protein structure analysis|Mapping|Sequence analysis|Transcription factors and regulatory sites|Sequence assembly				Mature			31			pmid:19699594										False	lasergene	https://bio.tools/lasergene	2024-11-25	bio.tools		
Tool performs differential expression and pathway enrichment analysis, not gene regulatory network analysis; admitted on EDAM 'Gene regulatory network analysis' alone	biotranslator	BioTranslator	"BioTranslator performs semantic interpretation of genomic data, using pathway analysis and gene prioritization approaches

The tool is available at: 
http://www.biotranslator.gr:8080/
http://motherbox.chemeng.ntua.gr/anastasia_dev/"	grn-inference	grn-inference	core	http://www.biotranslator.gr:8080/		https://github.com/ywzhao2002/biotranslator		inferred						Web application	Functional genomics|Systems biology|Omics|Molecular interactions, pathways and networks	Python						31		2011	pmid:21293737										False	biotranslator	https://bio.tools/biotranslator	2024-11-24	bio.tools		
Identifies viral reads and assembles viral contigs, not regulatory genomics	virnatrap	viRNAtrap	Characterizing the landscape of viral expression in cancer by deep learning.	motif-scanning	motif-scanning	extended	https://github.com/AuslanderLab/virnatrap		https://github.com/AuslanderLab/virnatrap		recorded	1	2023-10-16	False	Python	MIT	Command-line tool	RNA-Seq|Oncology|Gene expression|Gene transcripts|Sequence assembly	Python	MIT			Free of charge		30		2023	pmid:36774364										False	virnatrap	https://bio.tools/virnatrap	2024-11-24	bio.tools		
Tool is for pathway analysis and BioPAX data, not gene regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	paxtoolsr	paxtoolsr	The package provides a set of R functions for interacting with BioPAX OWL files using Paxtools and the querying Pathway Commons (PC) molecular interaction database that are hosted by the Computational Biology Center at Memorial Sloan-Kettering Cancer Center (MSKCC)	grn-inference	grn-inference	core	http://bioconductor.org/packages/release/bioc/html/paxtoolsr.html		https://github.com/BioPAX/paxtoolsr		recorded	10	2023-01-10	False	R		Command-line tool|Library	Cell biology|Molecular interactions, pathways and networks	R	GPL-3.0					30		2016	pmid:26685306										False	paxtoolsr	https://bio.tools/paxtoolsr	2019-01-13	bio.tools		
Focuses on plant cell wall proteins and carbohydrate binding, not regulatory genomics	expansin-engineering-db	Expansin Engineering Database	Expansin Engineering Database integrates information on sequence, structure and function of expansins.	motif-scanning|motif-databases	motif-scanning	extended	https://exed.biocatnet.de										Database portal	Sequence sites, features and motifs|Carbohydrates|Model organisms|Protein folds and structural domains|Plant biology							28		2021	pmid:32862462										False	expansin-engineering-db	https://bio.tools/expansin-engineering-db	2021-03-08	bio.tools		
Tool extracts isotopic peak patterns from mass spectra for proteomics, not regulatory genomics; admitted on EDAM 'Peak calling' alone	ippd	IPPD	The package provides functionality to extract isotopic peak patterns from raw mass spectra	peak-calling	peak-calling	core	http://bioconductor.org/packages/release/bioc/html/IPPD.html										Command-line tool|Library	Proteomics experiment|Small molecules	R	GPL-2.0					27		2012	pmid:23137144										False	ippd	https://bio.tools/ippd	2024-11-25	bio.tools		
predicts RNA-small molecule binding, not regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	rldock	RLDOCK	RLDOCK method for predicting RNA-small molecule binding modes	tfbs-prediction	tfbs-prediction	core	https://github.com/Vfold-RNA/RLDOCK		https://github.com/Vfold-RNA/RLDOCK		recorded	32	2024-04-09	False	C++		Command-line tool	Molecular modelling|Molecular biology|Small molecules|RNA|Medicinal chemistry|Protein interactions	C++						26		2022	pmid:33549725										False	rldock	https://bio.tools/rldock	2024-11-24	bio.tools		
Predicts protein motifs (CC, TIR, NBS, LRR) in plant NLR proteins, not regulatory genomics	nlrexpress	NLRexpress	Bundle of machine learning motif predictors-Reveals motif stability underlying plant Nod-like receptors diversity.	motif-scanning	motif-scanning	extended	https://nlrexpress.biochim.ro		https://github.com/eliza-m/NLRexpress		recorded	2	2022-08-22	False	Python	GPL-3.0	Web application|Command-line tool	Plant biology|Sequence sites, features and motifs|Machine learning|Gene expression|Proteomics	Python	GPL-3.0			Free of charge		25		2022	pmid:36186050										False	nlrexpress	https://bio.tools/nlrexpress	2024-11-24	bio.tools		
rG4-seeker identifies RNA G-quadruplex structures, which are RNA secondary structures, not regulatory-genomics elements	rg4-seeker	rG4-seeker	rG4-seeker enables high-confidence identification of novel and non-canonical rG4 motifs from rG4-seq experiments.	motif-scanning|peak-calling	motif-scanning	extended	https://github.com/TF-Chan-Lab/rG4-seeker		https://github.com/TF-Chan-Lab/rG4-seeker		recorded	3	2023-08-31	False	Python	GPL-3.0		Chemistry|RNA-Seq|Sequence sites, features and motifs|RNA splicing							25			doi:10.1080/15476286.2020.1740470										False	rg4-seeker	https://bio.tools/rg4-seeker	2021-02-06	bio.tools		
Predicts small molecule binding sites on proteins, not regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	lise	LISE	LISE is a web server for a novel method of predicting small molecule binding sites on proteins.	tfbs-prediction	tfbs-prediction	core	http://lise.ibms.sinica.edu.tw										Web application	Small molecules|Protein binding sites|Protein structural motifs and surfaces|Structure prediction|Nucleic acid sites, features and motifs							25		2013	pmid:23609546										False	lise	https://bio.tools/lise	2024-11-25	bio.tools		
Tool classifies immune repertoires, not regulatory genomics	deeprc	DeepRC	DeepRC is a tool that that integrates transformer-like attention, or equivalently modern Hopfield networks, into deep learning architectures for massive MIL such as immune repertoire classification.	motif-scanning	motif-scanning	extended	https://github.com/ml-jku/DeepRC		https://github.com/ml-jku/DeepRC		recorded	128	2023-09-12	False	Python		Command-line tool	Machine learning|Sequence sites, features and motifs|Immunology	Python						23			doi:10.1101/2020.04.12.038158										True	deeprc	https://bio.tools/deeprc	2021-02-27	bio.tools		
"Storage format for genomic tracks; kept as tracks ""usable for"" footprinting"	genomedata	Genomedata	Genomedata is a format for efficient storage of multiple tracks of numeric data anchored to a genome		uncategorised	core	http://noble.gs.washington.edu/proj/genomedata/										Library	Data management|Sequence analysis	Python|C	GPL-3.0		Mature			23		2010	pmid:20435580										False	genomedata	https://bio.tools/genomedata	2024-11-24	bio.tools		
Annotates 3' UTRs from sequencing reads, not regulatory elements or transcription factor binding; admitted on EDAM 'Peak calling' alone	peaks2utr	peaks2utr	Tool that annotates 3' untranslated regions (UTR) for a given set of aligned sequencing reads in BAM format, and canonical annotation in GFF or GTF format.	tfbs-prediction|peak-calling	tfbs-prediction	core	https://pypi.org/project/peaks2utr		https://github.com/haessar/peaks2utr		recorded	25	2026-05-18	False	Python	GPL-3.0	Command-line tool	Transcriptomics|Model organisms|Transcription factors and regulatory sites|Gene transcripts|RNA-Seq	Python	GPL-3.0			Free of charge		22		2023	pmid:36864613										False	peaks2utr	https://bio.tools/peaks2utr	2024-11-24	bio.tools		
Identifies symmetrical DNA patterns for non-B DNA structures, not regulatory elements	NeSSie	NeSSie	Tool for the identification of approximate DNA sequence symmetries.	motif-scanning	motif-scanning	extended	http://www.medcomp.medicina.unipd.it/main_site/doku.php?%20id=nessie		https://github.com/B3rse/nessie		recorded	11	2018-06-26	False	C++		Command-line tool	Genetic variation|Gene expression	C++	GPL-3.0		Mature	Free of charge		21		2018	pmid:29522153										False	NeSSie	https://bio.tools/NeSSie	2024-11-24	bio.tools		
Tool predicts microtubule-associated proteins, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	mapanalyzer	MAPanalyzer	MAP (Microtubule-associated Proteins) analysis tool.	motif-discovery	motif-discovery	core	http://systbio.cau.edu.cn/mappred/										Web application	Proteins|Cell biology|Data submission, annotation and curation							21		2015	pmid:26568329										False	mapanalyzer	https://bio.tools/mapanalyzer	2018-12-10	bio.tools		
Predicts MHC-peptide binding for immunotherapy, not transcription factor binding or any regulatory genomics task; admitted on EDAM 'Transcription factor binding site prediction' alone	usmpep	USMPep	USMPep: Universal Sequence Models for Major Histocompatibility Complex Binding Afﬁnity Prediction	tfbs-prediction	tfbs-prediction	core	https://github.com/nstrodt/USMPep		https://github.com/nstrodt/USMPep		recorded	10	2021-04-22	False	Python	NOASSERTION		Small molecules|Machine learning|Immunoproteins and antigens|Proteomics	Python						21		2020	pmid:32615972										False	usmpep	https://bio.tools/usmpep	2021-03-10	bio.tools		
Database of LIR motifs binding Atg8 homologs, which are involved in autophagy (protein degradation), not regulatory genomics	lircentral	LIRcentral	Manually curated online database of experimentally validated functional LIR motifs	motif-scanning|motif-databases	motif-scanning	extended	https://lircentral.eu										Database portal	Sequence sites, features and motifs|Literature and language|Small molecules|Protein interactions|Plant biology		CC-BY-4.0			Free of charge		19		2023	pmid:37530436										False	lircentral	https://bio.tools/lircentral	2024-11-24	bio.tools		
Tool detects peaks in GWAS Manhattan plots, not regulatory-genomics peaks like ChIP-seq or ATAC-seq; admitted on EDAM 'Peak calling' alone	Manhattan_Harvester	Manhattan Harvester	Tool for automatically detecting and characterizing peaks from GWAS output files (Manhattan Plots).	peak-calling	peak-calling	core	https://www.geenivaramu.ee/en/tools/manhattan-harvester										Command-line tool	GWAS study|Genotype and phenotype	C++	GPL-3.0		Mature	Free of charge		19		2019	pmid:30634901										False	Manhattan_Harvester	https://bio.tools/Manhattan_Harvester	2020-06-16	bio.tools		
Tool is for GWAS peak detection and Manhattan plot cropping, not for regulatory genomics peaks like ChIP-seq/ATAC-seq; admitted on EDAM 'Peak calling' alone	Cropper	Cropper	GUI application for viewing and handling Manhattan Plots	peak-calling	peak-calling	core	https://www.geenivaramu.ee/en/tools/cropper										Desktop application	GWAS study|Genotype and phenotype	C++	GPL-3.0		Mature	Free of charge		19		2019	pmid:30634901										False	Cropper	https://bio.tools/Cropper	2020-06-16	bio.tools		
Predicts cancer dependencies, not gene regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	biovnn	BioVNN	Biological visible neural network (BioVNN) is a tool  to predict cancer dependencies using pathway knowledge.	grn-inference	grn-inference	core	https://github.com/LichtargeLab/BioVNN		https://github.com/LichtargeLab/BioVNN		recorded	1	2021-06-05	False	Python	MIT	Script	Oncology|Molecular interactions, pathways and networks|Machine learning|Small molecules	Python	MIT					19		2021	pmid:34042953										False	biovnn	https://bio.tools/biovnn	2024-11-24	bio.tools		
tool builds RNA models from cryo-EM data, not regulatory genomics; admitted on EDAM 'cis-regulatory element prediction' alone	auto-drrafter	auto-DRRAFTER	"The Rosetta-based ""auto-DRRAFTER"" method builds RNA models into moderate-resolution RNA cryo-EM density as part of the Ribosolve pipeline."	regulatory-elements	regulatory-elements	core	https://github.com/auto-DRRAFTER/springer-chapter		https://github.com/auto-DRRAFTER/springer-chapter		recorded	2	2023-03-12	False	Shell		Workflow|Desktop application|Web application	RNA|Electron microscopy|Nucleic acid structure analysis|Model organisms|Protein interactions	Shell	Other			Free of charge (with restrictions)		18		2023	pmid:36227570										False	auto-drrafter	https://bio.tools/auto-drrafter	2024-11-24	bio.tools		
It is a cancer prognosis platform integrating multi-omics and clinical data, not a tool for gene regulatory network analysis; admitted on EDAM 'Gene regulatory network analysis' alone	topp	ToPP	Tumor online prognostic analysis platform for prognostic feature selection and clinical patient subgroup selection.	grn-inference	grn-inference	core	http://www.biostatistics.online/topp/index.php										Web application	Oncology|Microbial ecology|Functional, regulatory and non-coding RNA|Gene transcripts|Personalised medicine					Free of charge		18		2022	pmid:35479398										False	topp	https://bio.tools/topp	2024-11-24	bio.tools		
Focuses on general topological signal analysis in single-cell data, not specifically on gene-regulatory networks or other regulatory genomics topics; admitted on EDAM 'Gene regulatory network analysis' alone	scprisma	scPrisma	Inference, filtering and enhancement of periodic signals in single-cell data using spectral template matching.	grn-inference|single-cell	grn-inference	core	https://github.com/nitzanlab/scPrisma/		https://github.com/nitzanlab/scPrisma		recorded	21	2024-03-31	False	Jupyter Notebook	MIT	Library	Cell biology|RNA-Seq|Molecular interactions, pathways and networks|Workflows	Python	MIT			Free of charge		18		2023	pmid:36849830										False	scprisma	https://bio.tools/scprisma	2024-06-18	bio.tools		
Predicts survival risk from gene expression and mutation data, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	mpvnn	MPVNN	Mutated Pathway Visible Neural Network (MPVNN) architecture, designed using prior signaling pathway knowledge and random replacement of known pathway edges using gene mutation data simulating signal flow disruption.	grn-inference	grn-inference	core	https://github.com/gourabghoshroy/MPVNN		https://github.com/gourabghoshroy/MPVNN		recorded	1	2022-05-22	False	Python	GPL-2.0	Script	Molecular interactions, pathways and networks|Machine learning|Oncology|Genetic variation|Gene expression	Python	GPL-2.0					17		2022	pmid:36124954										False	mpvnn	https://bio.tools/mpvnn	2024-11-24	bio.tools		
Focuses on PDZ domain binding motifs and protein-peptide interactions, not regulatory genomics	MotifAnalyzer-PDZ	MotifAnalyzer-PDZ	A computational program to investigate the evolution of PDZ-binding target specificity	motif-scanning|comparative	motif-scanning	extended	http://motifAnalyzerPDZ.cs.wwu.edu		https://github.com/jagodzf/motifAnalyzerPDZ		inferred						Desktop application|Command-line tool	Small molecules|Protein interactions|Proteomics|Protein folds and structural domains|Sequence sites, features and motifs							16		2019	pmid:31599029										False	MotifAnalyzer-PDZ	https://bio.tools/MotifAnalyzer-PDZ	2020-12-29	bio.tools		
Tool predicts ligand-binding sites in proteins, not regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	pocketannotate	PocketAnnotate	PocketAnnotate performs binding site level annotation of query proteins.	tfbs-prediction	tfbs-prediction	core	http://proline.biochem.iisc.ernet.in/pocketannotate/										Web application	Protein binding sites|Nucleic acid sites, features and motifs|DNA binding sites|Transcription factors and regulatory sites|Proteins							16			pmid:22618878										False	pocketannotate	https://bio.tools/pocketannotate	2024-11-25	bio.tools		
Identifies transcript boundaries for transcript assembly, not regulatory elements; admitted on EDAM 'Transcriptional regulatory element prediction' alone	deepbound	DeepBound	Accurate identification of transcript boundaries via deep convolutional neural fields.	tfbs-prediction|regulatory-elements	tfbs-prediction	core	https://github.com/realbigws/DeepBound		https://github.com/realbigws/DeepBound		recorded	11	2017-02-13	False	C++		Command-line tool	Machine learning|Transcription factors and regulatory sites|RNA-Seq	Shell						16		2017	pmid:28881999										False	deepbound	https://bio.tools/deepbound	2024-11-25	bio.tools		
